Canal;Extenso;Usuario;Sessao;dia;mes;ano;Data
Organic Search;20230927;73;66;27;9;2023;27/09/2023
Organic Search;20230808;64;44;8;8;2023;08/08/2023
Organic Search;20231004;62;55;4;10;2023;04/10/2023
Organic Search;20230831;61;54;31;8;2023;31/08/2023
Direct;20230810;60;103;10;8;2023;10/08/2023
Organic Search;20230915;60;67;15;9;2023;15/09/2023
Organic Search;20230824;58;52;24;8;2023;24/08/2023
Organic Search;20231005;57;74;5;10;2023;05/10/2023
Organic Search;20230809;54;52;9;8;2023;09/08/2023
Organic Search;20230805;53;43;5;8;2023;05/08/2023
Organic Search;20230916;50;51;16;9;2023;16/09/2023
Organic Search;20230822;47;44;22;8;2023;22/08/2023
Organic Search;20230903;47;54;3;9;2023;03/09/2023
Organic Search;20231008;47;43;8;10;2023;08/10/2023
Organic Search;20230819;45;44;19;8;2023;19/08/2023
Organic Search;20230813;42;38;13;8;2023;13/08/2023
Organic Search;20230826;42;46;26;8;2023;26/08/2023
Organic Search;20231007;42;45;7;10;2023;07/10/2023
Direct;20230915;41;110;15;9;2023;15/09/2023
Organic Search;20230901;41;52;1;9;2023;01/09/2023
Organic Search;20230928;41;51;28;9;2023;28/09/2023
Organic Search;20231006;41;45;6;10;2023;06/10/2023
Organic Search;20230810;40;35;10;8;2023;10/08/2023
Direct;20230916;39;74;16;9;2023;16/09/2023
Direct;20230804;38;57;4;8;2023;04/08/2023
Organic Search;20230806;38;30;6;8;2023;06/08/2023
Organic Search;20230829;38;38;29;8;2023;29/08/2023
Organic Search;20230930;38;41;30;9;2023;30/09/2023
Direct;20230831;37;82;31;8;2023;31/08/2023
Organic Search;20230820;37;39;20;8;2023;20/08/2023
Organic Search;20230823;37;40;23;8;2023;23/08/2023
Organic Search;20231002;37;45;2;10;2023;02/10/2023
Direct;20230803;36;50;3;8;2023;03/08/2023
Direct;20230826;36;81;26;8;2023;26/08/2023
Organic Search;20230807;36;35;7;8;2023;07/08/2023
Organic Search;20230821;36;35;21;8;2023;21/08/2023
Organic Search;20230906;36;44;6;9;2023;06/09/2023
Organic Search;20230920;36;44;20;9;2023;20/09/2023
Organic Search;20230825;35;46;25;8;2023;25/08/2023
Organic Search;20231009;35;40;9;10;2023;09/10/2023
Direct;20230805;34;55;5;8;2023;05/08/2023
Organic Search;20231003;34;42;3;10;2023;03/10/2023
Organic Search;20230918;33;32;18;9;2023;18/09/2023
Direct;20230809;32;76;9;8;2023;09/08/2023
Direct;20230811;32;75;11;8;2023;11/08/2023
Direct;20231005;32;91;5;10;2023;05/10/2023
Organic Search;20230908;32;41;8;9;2023;08/09/2023
Organic Search;20230912;32;33;12;9;2023;12/09/2023
Organic Search;20230919;32;37;19;9;2023;19/09/2023
Organic Search;20230804;31;34;4;8;2023;04/08/2023
Organic Search;20230830;31;33;30;8;2023;30/08/2023
Direct;20230806;30;67;6;8;2023;06/08/2023
Direct;20230813;30;61;13;8;2023;13/08/2023
Direct;20230919;30;77;19;9;2023;19/09/2023
Organic Search;20230811;30;37;11;8;2023;11/08/2023
Organic Search;20230922;30;33;22;9;2023;22/09/2023
Organic Search;20230929;30;32;29;9;2023;29/09/2023
Organic Search;20230926;29;39;26;9;2023;26/09/2023
Organic Search;20231011;29;45;11;10;2023;11/10/2023
Direct;20230807;28;79;7;8;2023;07/08/2023
Direct;20230820;28;73;20;8;2023;20/08/2023
Direct;20230825;28;102;25;8;2023;25/08/2023
Organic Search;20230905;28;32;5;9;2023;05/09/2023
Organic Search;20230921;28;37;21;9;2023;21/09/2023
Direct;20230808;27;58;8;8;2023;08/08/2023
Direct;20230830;27;67;30;8;2023;30/08/2023
Organic Search;20230913;27;28;13;9;2023;13/09/2023
Organic Search;20230924;27;30;24;9;2023;24/09/2023
Organic Search;20231012;27;30;12;10;2023;12/10/2023
Direct;20230914;26;74;14;9;2023;14/09/2023
Organic Search;20230815;26;27;15;8;2023;15/08/2023
Organic Search;20230828;26;29;28;8;2023;28/08/2023
Organic Search;20230914;26;33;14;9;2023;14/09/2023
Organic Search;20231015;26;31;15;10;2023;15/10/2023
Direct;20230824;25;68;24;8;2023;24/08/2023
Direct;20230827;25;65;27;8;2023;27/08/2023
Direct;20230901;25;90;1;9;2023;01/09/2023
Organic Search;20230812;25;24;12;8;2023;12/08/2023
Organic Search;20230817;25;23;17;8;2023;17/08/2023
Organic Search;20230827;25;29;27;8;2023;27/08/2023
Organic Search;20230902;25;27;2;9;2023;02/09/2023
Organic Search;20230910;25;35;10;9;2023;10/09/2023
Organic Search;20230925;25;35;25;9;2023;25/09/2023
Organic Search;20231001;25;31;1;10;2023;01/10/2023
Direct;20230912;24;45;12;9;2023;12/09/2023
Organic Search;20230816;24;25;16;8;2023;16/08/2023
Organic Search;20230917;24;26;17;9;2023;17/09/2023
Organic Search;20230923;24;29;23;9;2023;23/09/2023
Organic Search;20231014;24;30;14;10;2023;14/10/2023
Direct;20230823;23;65;23;8;2023;23/08/2023
Direct;20231006;23;68;6;10;2023;06/10/2023
Organic Search;20230803;23;19;3;8;2023;03/08/2023
Organic Search;20230907;23;28;7;9;2023;07/09/2023
Direct;20230918;22;51;18;9;2023;18/09/2023
Direct;20231014;22;50;14;10;2023;14/10/2023
Organic Search;20230818;21;23;18;8;2023;18/08/2023
Organic Search;20230909;21;26;9;9;2023;09/09/2023
Organic Search;20231010;21;24;10;10;2023;10/10/2023
Direct;20230926;20;74;26;9;2023;26/09/2023
Organic Search;20230904;20;21;4;9;2023;04/09/2023
Organic Search;20231013;20;21;13;10;2023;13/10/2023
Direct;20230815;19;51;15;8;2023;15/08/2023
Direct;20230903;19;69;3;9;2023;03/09/2023
Direct;20230921;19;85;21;9;2023;21/09/2023
Direct;20230925;19;52;25;9;2023;25/09/2023
Direct;20230928;19;94;28;9;2023;28/09/2023
Direct;20230812;18;47;12;8;2023;12/08/2023
Direct;20230907;18;49;7;9;2023;07/09/2023
Direct;20230917;18;47;17;9;2023;17/09/2023
Direct;20230923;18;46;23;9;2023;23/09/2023
Direct;20230814;17;59;14;8;2023;14/08/2023
Direct;20230819;17;61;19;8;2023;19/08/2023
Direct;20230822;17;40;22;8;2023;22/08/2023
Direct;20230927;17;69;27;9;2023;27/09/2023
Direct;20231001;17;33;1;10;2023;01/10/2023
Direct;20231007;17;50;7;10;2023;07/10/2023
Organic Search;20230814;17;20;14;8;2023;14/08/2023
Direct;20230828;15;66;28;8;2023;28/08/2023
Direct;20230904;15;57;4;9;2023;04/09/2023
Direct;20230905;15;61;5;9;2023;05/09/2023
Direct;20230902;14;66;2;9;2023;02/09/2023
Direct;20230909;14;30;9;9;2023;09/09/2023
Direct;20230913;14;44;13;9;2023;13/09/2023
Direct;20230920;14;52;20;9;2023;20/09/2023
Direct;20231003;14;55;3;10;2023;03/10/2023
Direct;20231010;14;36;10;10;2023;10/10/2023
Direct;20230817;13;48;17;8;2023;17/08/2023
Direct;20230908;13;44;8;9;2023;08/09/2023
Direct;20230911;13;55;11;9;2023;11/09/2023
Direct;20230922;13;51;22;9;2023;22/09/2023
Direct;20230924;13;26;24;9;2023;24/09/2023
Direct;20230929;13;61;29;9;2023;29/09/2023
Direct;20231004;13;40;4;10;2023;04/10/2023
Direct;20231009;13;49;9;10;2023;09/10/2023
Organic Search;20230911;13;20;11;9;2023;11/09/2023
Direct;20230816;12;41;16;8;2023;16/08/2023
Direct;20230818;12;53;18;8;2023;18/08/2023
Direct;20230829;12;38;29;8;2023;29/08/2023
Direct;20230930;12;48;30;9;2023;30/09/2023
Direct;20231008;12;53;8;10;2023;08/10/2023
Direct;20230821;10;52;21;8;2023;21/08/2023
Direct;20230906;10;52;6;9;2023;06/09/2023
Direct;20231011;10;35;11;10;2023;11/10/2023
Direct;20231002;9;44;2;10;2023;02/10/2023
Direct;20231013;9;27;13;10;2023;13/10/2023
Direct;20231012;8;33;12;10;2023;12/10/2023
Direct;20231015;7;35;15;10;2023;15/10/2023
Direct;20230910;6;22;10;9;2023;10/09/2023
Organic Social;20231013;5;4;13;10;2023;13/10/2023
Referral;20230806;4;5;6;8;2023;06/08/2023
Referral;20230809;4;3;9;8;2023;09/08/2023
Referral;20230906;4;4;6;9;2023;06/09/2023
Referral;20230927;4;4;27;9;2023;27/09/2023
Referral;20230807;3;1;7;8;2023;07/08/2023
Referral;20230810;3;4;10;8;2023;10/08/2023
Referral;20230821;3;2;21;8;2023;21/08/2023
Referral;20230916;3;3;16;9;2023;16/09/2023
Referral;20231006;3;7;6;10;2023;06/10/2023
Organic Social;20230818;2;2;18;8;2023;18/08/2023
Organic Social;20230827;2;0;27;8;2023;27/08/2023
Organic Social;20230930;2;2;30;9;2023;30/09/2023
Referral;20230803;2;1;3;8;2023;03/08/2023
Referral;20230814;2;3;14;8;2023;14/08/2023
Referral;20230819;2;2;19;8;2023;19/08/2023
Referral;20230826;2;5;26;8;2023;26/08/2023
Referral;20230910;2;3;10;9;2023;10/09/2023
Referral;20230913;2;2;13;9;2023;13/09/2023
Referral;20231005;2;3;5;10;2023;05/10/2023
Referral;20231008;2;1;8;10;2023;08/10/2023
Referral;20231009;2;3;9;10;2023;09/10/2023
Referral;20231012;2;1;12;10;2023;12/10/2023
Organic Social;20230810;1;0;10;8;2023;10/08/2023
Organic Social;20230816;1;1;16;8;2023;16/08/2023
Organic Social;20230821;1;1;21;8;2023;21/08/2023
Organic Social;20230824;1;1;24;8;2023;24/08/2023
Organic Social;20230831;1;0;31;8;2023;31/08/2023
Organic Social;20230901;1;0;1;9;2023;01/09/2023
Organic Social;20230906;1;1;6;9;2023;06/09/2023
Organic Social;20230907;1;1;7;9;2023;07/09/2023
Organic Social;20230929;1;1;29;9;2023;29/09/2023
Organic Social;20231006;1;1;6;10;2023;06/10/2023
Organic Social;20231010;1;1;10;10;2023;10/10/2023
Referral;20230808;1;1;8;8;2023;08/08/2023
Referral;20230812;1;1;12;8;2023;12/08/2023
Referral;20230813;1;1;13;8;2023;13/08/2023
Referral;20230815;1;1;15;8;2023;15/08/2023
Referral;20230817;1;3;17;8;2023;17/08/2023
Referral;20230824;1;2;24;8;2023;24/08/2023
Referral;20230825;1;1;25;8;2023;25/08/2023
Referral;20230830;1;1;30;8;2023;30/08/2023
Referral;20230831;1;2;31;8;2023;31/08/2023
Referral;20230901;1;4;1;9;2023;01/09/2023
Referral;20230902;1;1;2;9;2023;02/09/2023
Referral;20230905;1;1;5;9;2023;05/09/2023
Referral;20230908;1;2;8;9;2023;08/09/2023
Referral;20230909;1;4;9;9;2023;09/09/2023
Referral;20230911;1;2;11;9;2023;11/09/2023
Referral;20230912;1;2;12;9;2023;12/09/2023
Referral;20230914;1;3;14;9;2023;14/09/2023
Referral;20230915;1;2;15;9;2023;15/09/2023
Referral;20230918;1;1;18;9;2023;18/09/2023
Referral;20230919;1;0;19;9;2023;19/09/2023
Referral;20230921;1;1;21;9;2023;21/09/2023
Referral;20230922;1;0;22;9;2023;22/09/2023
Referral;20230923;1;1;23;9;2023;23/09/2023
Referral;20230929;1;2;29;9;2023;29/09/2023
Referral;20231003;1;1;3;10;2023;03/10/2023
Referral;20231004;1;0;4;10;2023;04/10/2023
Referral;20231007;1;1;7;10;2023;07/10/2023
Referral;20231013;1;1;13;10;2023;13/10/2023
Referral;20231014;1;1;14;10;2023;14/10/2023
Referral;20230816;0;0;16;8;2023;16/08/2023
Referral;20230822;0;1;22;8;2023;22/08/2023
Referral;20230827;0;2;27;8;2023;27/08/2023
Referral;20230829;0;1;29;8;2023;29/08/2023
Referral;20230907;0;1;7;9;2023;07/09/2023
Referral;20230917;0;1;17;9;2023;17/09/2023
Referral;20230920;0;1;20;9;2023;20/09/2023
Referral;20230924;0;1;24;9;2023;24/09/2023
Referral;20230930;0;1;30;9;2023;30/09/2023
Referral;20231001;0;3;1;10;2023;01/10/2023
Referral;20231002;0;1;2;10;2023;02/10/2023
Organic Search;20231019;45;51;19;10;2023;19/10/2023
Organic Search;20231020;39;41;20;10;2023;20/10/2023
Organic Search;20231021;34;36;21;10;2023;21/10/2023
Organic Search;20231022;27;43;22;10;2023;22/10/2023
Direct;20231020;26;67;20;10;2023;20/10/2023
Organic Search;20231017;25;28;17;10;2023;17/10/2023
Organic Search;20231016;19;27;16;10;2023;16/10/2023
Organic Search;20231018;19;25;18;10;2023;18/10/2023
Direct;20231018;18;50;18;10;2023;18/10/2023
Direct;20231017;17;45;17;10;2023;17/10/2023
Direct;20231016;14;32;16;10;2023;16/10/2023
Direct;20231019;13;38;19;10;2023;19/10/2023
Direct;20231022;13;49;22;10;2023;22/10/2023
Direct;20231021;10;49;21;10;2023;21/10/2023
Referral;20231018;4;2;18;10;2023;18/10/2023
Referral;20231021;3;1;21;10;2023;21/10/2023
Organic Social;20231019;1;0;19;10;2023;19/10/2023
Organic Search;20231028;131;81;28;10;2023;28/10/2023
Organic Search;20231025;57;76;25;10;2023;25/10/2023
Organic Search;20231026;47;53;26;10;2023;26/10/2023
Direct;20231025;43;118;25;10;2023;25/10/2023
Organic Search;20231027;41;41;27;10;2023;27/10/2023
Organic Search;20231023;38;48;23;10;2023;23/10/2023
Organic Search;20231029;32;6;29;10;2023;29/10/2023
Direct;20231028;31;52;28;10;2023;28/10/2023
Organic Search;20231024;31;34;24;10;2023;24/10/2023
Direct;20231023;25;63;23;10;2023;23/10/2023
Direct;20231027;16;59;27;10;2023;27/10/2023
Direct;20231026;13;63;26;10;2023;26/10/2023
Direct;20231024;12;39;24;10;2023;24/10/2023
Direct;20231029;11;8;29;10;2023;29/10/2023
Referral;20231027;2;2;27;10;2023;27/10/2023
Referral;20231028;2;2;28;10;2023;28/10/2023
Organic Social;20231023;1;1;23;10;2023;23/10/2023
Referral;20231023;1;2;23;10;2023;23/10/2023
Referral;20231024;1;1;24;10;2023;24/10/2023
Referral;20231026;1;1;26;10;2023;26/10/2023
Organic Search;20231104;151;111;4;11;2023;04/11/2023
Organic Search;20231105;78;78;5;11;2023;05/11/2023
Organic Search;20231103;40;35;3;11;2023;03/11/2023
Organic Search;20231031;37;39;31;10;2023;31/10/2023
Organic Search;20231030;33;39;30;10;2023;30/10/2023
Organic Search;20231102;31;29;2;11;2023;02/11/2023
Direct;20231105;30;57;5;11;2023;05/11/2023
Organic Search;20231101;27;31;1;11;2023;01/11/2023
Direct;20231031;20;53;31;10;2023;31/10/2023
Direct;20231104;20;46;4;11;2023;04/11/2023
Direct;20231101;12;36;1;11;2023;01/11/2023
Direct;20231030;11;44;30;10;2023;30/10/2023
Direct;20231103;11;32;3;11;2023;03/11/2023
Direct;20231102;9;26;2;11;2023;02/11/2023
Referral;20231101;2;2;1;11;2023;01/11/2023
Organic Social;20231103;1;1;3;11;2023;03/11/2023
Organic Social;20231105;1;0;5;11;2023;05/11/2023
Referral;20231102;1;1;2;11;2023;02/11/2023
Referral;20231104;1;3;4;11;2023;04/11/2023
Organic Search;20231106;67;65;6;11;2023;06/11/2023
Organic Search;20231108;51;61;8;11;2023;08/11/2023
Organic Search;20231111;51;63;11;11;2023;11/11/2023
Organic Search;20231110;47;56;10;11;2023;10/11/2023
Organic Search;20231109;44;54;9;11;2023;09/11/2023
Organic Search;20231107;42;51;7;11;2023;07/11/2023
Direct;20231109;36;68;9;11;2023;09/11/2023
Organic Search;20231112;33;40;12;11;2023;12/11/2023
Direct;20231107;26;69;7;11;2023;07/11/2023
Direct;20231106;22;54;6;11;2023;06/11/2023
Direct;20231111;20;63;11;11;2023;11/11/2023
Direct;20231108;19;55;8;11;2023;08/11/2023
Direct;20231110;17;67;10;11;2023;10/11/2023
Direct;20231112;14;55;12;11;2023;12/11/2023
Referral;20231108;4;2;8;11;2023;08/11/2023
Referral;20231111;3;2;11;11;2023;11/11/2023
Organic Social;20231110;2;2;10;11;2023;10/11/2023
Referral;20231110;2;3;10;11;2023;10/11/2023
Referral;20231107;1;1;7;11;2023;07/11/2023
Referral;20231106;0;1;6;11;2023;06/11/2023
Organic Search;20231114;62;55;14;11;2023;14/11/2023
Organic Search;20231115;58;58;15;11;2023;15/11/2023
Organic Search;20231116;44;48;16;11;2023;16/11/2023
Organic Search;20231119;43;50;19;11;2023;19/11/2023
Organic Search;20231113;40;39;13;11;2023;13/11/2023
Organic Search;20231117;38;37;17;11;2023;17/11/2023
Organic Search;20231118;29;34;18;11;2023;18/11/2023
Direct;20231114;13;40;14;11;2023;14/11/2023
Direct;20231115;13;57;15;11;2023;15/11/2023
Direct;20231113;12;43;13;11;2023;13/11/2023
Direct;20231117;12;50;17;11;2023;17/11/2023
Direct;20231116;11;44;16;11;2023;16/11/2023
Direct;20231118;11;34;18;11;2023;18/11/2023
Direct;20231119;10;37;19;11;2023;19/11/2023
Organic Social;20231117;4;1;17;11;2023;17/11/2023
Referral;20231118;4;3;18;11;2023;18/11/2023
Referral;20231113;3;3;13;11;2023;13/11/2023
Organic Social;20231116;2;2;16;11;2023;16/11/2023
Referral;20231114;2;1;14;11;2023;14/11/2023
Referral;20231115;1;1;15;11;2023;15/11/2023
Referral;20231116;0;1;16;11;2023;16/11/2023
Organic Search;20231123;49;67;23;11;2023;23/11/2023
Organic Search;20231122;48;51;22;11;2023;22/11/2023
Organic Search;20231124;44;44;24;11;2023;24/11/2023
Organic Search;20231125;44;50;25;11;2023;25/11/2023
Organic Search;20231126;37;45;26;11;2023;26/11/2023
Organic Search;20231121;35;41;21;11;2023;21/11/2023
Organic Search;20231120;31;40;20;11;2023;20/11/2023
Direct;20231123;29;79;23;11;2023;23/11/2023
Direct;20231126;22;60;26;11;2023;26/11/2023
Direct;20231125;19;72;25;11;2023;25/11/2023
Direct;20231120;18;54;20;11;2023;20/11/2023
Direct;20231121;15;39;21;11;2023;21/11/2023
Direct;20231124;14;45;24;11;2023;24/11/2023
Direct;20231122;12;66;22;11;2023;22/11/2023
Referral;20231120;2;2;20;11;2023;20/11/2023
Referral;20231124;1;1;24;11;2023;24/11/2023
Referral;20231121;0;1;21;11;2023;21/11/2023
