Indice;Data;Assunto;Consulta;Curtidas;Repost;Comentario;Impressoes;Engajamentos;Link_click;Expansao;Visita_perfil;Novos_seguidores;Grupo1;Grupo2
1;18/jan;Estreia Carioca;Estreia em campeonatos;6;0;0;592;15;4;3;2;0;Campeonato;
2;18/jan;Volta Redonda;Adversário - Volta Redonda;7;0;1;1514;19;8;3;0;0;Adversário;
3;19/jan;Moça Bonita;Estádio - Moça Bonita;6;1;0;1113;20;9;3;1;0;Estádio;
4;20/jan;Camisa 20;Numeros - 20;27;1;0;29795;582;21;481;40;13;Numeração;
5;20/jan;Portuguesa;Adversário - Portuguesa;19;1;5;2084;51;18;4;3;1;Adversário;
6;21/jan;Artilheiros Portuguesa;Artilheiros Portuguesa;24;1;2;1040;53;9;11;5;1;Artilheiros;
7;22/jan;Artilheiro por adversário;German Cano - Gols por adversario;24;1;0;590;49;7;9;7;0;Jogador;
8;23/jan;Melhores Anos;Ranking de Anos;19;1;0;645;39;9;7;3;0;Ano;
9;24/jan;Elcyr Mendonça;Estádio - Elcyr Mendonça;7;0;0;335;10;0;1;2;0;Estádio;
10;25/jan;Audax e 0 derrotas;Adversário - Audax;6;0;0;374;15;2;4;3;0;Adversário;
11;26/jan;Nova Iguaçu;Adversário - Nova Iguaçu;7;0;0;352;10;1;0;2;0;Adversário;
12;27/jan;Artilheiros Nova Iguaçu;Artilheiros Nova Iguaçu;5;0;0;355;15;5;5;0;0;Artilheiros;
13;29/jan;Goleadas sobre Bangu;Goleadas sobre adversário;8;0;0;299;11;2;1;0;0;Goleadas;
14;30/jan;Sequências contra Bangu;Sequências de adversário;7;0;0;261;11;1;0;3;0;Sequências;
15;31/jan;Marcão como Técnico;Técnico - Marcão (Passagens);4;0;0;330;11;1;4;2;0;Técnico;
16;01/fev;Evolução contra Bangu;Evolução Bangu;3;0;0;188;4;0;0;1;0;Adversário;
17;02/fev;Boavista e Sequência em Oficiais;Adversário - Boavista e Seqência Oficiais;5;0;0;261;12;0;5;1;0;Adversário;Sequência
18;03/fev;Artilheiros contra Boavista;Artilheiros Boavista;4;0;0;274;7;0;2;1;0;Artilheiros;
19;03/fev;Novas consultas comparação;Comparação Árbitro e Comparação Estádio;2;0;0;198;3;1;0;0;0;Anuncio;
20;05/fev;Penalties desde 2019;Penalties por ano;14;1;0;410;26;7;2;2;0;Penalties;
21;05/fev;Campeonato Carioca;Campeonatos - Carioca;4;0;0;276;12;0;7;1;0;Campeonato;
22;06/fev;Cartões Carioca;Cartões em campeonato - Carioca;7;0;0;294;15;0;8;0;0;Campeonato;
23;07/fev;Maiores Artilheiros e Assistentes;Maiores Artilheiros e Assistentes;14;0;0;454;36;9;8;4;0;Artilheiros;Assistencia
24;08/fev;Retorno ao Maracanã;Estadios - Maracanã;3;0;0;239;7;1;1;2;0;Estádio;
25;09/fev;Lista de adversários no Carioca;Lista de adversários no Carioca;8;0;0;307;13;3;1;1;0;Adversário;
26;10/fev;Artilheiros contra Vasco;Artilheiros Vasco;1;0;0;200;1;0;0;0;0;Artilheiros;
27;11/fev;Vasco no carioca;Adversário x Campeonato (Vasco-Carioca);4;0;0;278;8;2;1;0;0;Adversário;Campeonato
28;12/fev;Ano 2024;Melhores Inicios de ano;10;0;0;353;12;0;1;1;0;Ano;
29;13/fev;Sequências contra Vasco;Sequências de adversário;2;0;0;309;3;0;1;0;0;Sequências;
30;14/fev;Assistências contra Vasco;Assistência por adversário;5;0;0;220;5;0;0;0;0;Assistências;
31;15/fev;Adversário Madureira;Adversário Madureira;4;0;0;196;4;0;0;0;0;Adversário;
32;16/fev;Adversários que mais jogamos;30 Adversários que mais jogamos;20;2;0;2449;122;15;59;21;4;Adversário;
33;19/fev;Flu x LDU;Adversário LDU - Duelos Eliminatorios LDU;3;0;1;284;13;1;7;1;0;Adversário;
34;20/fev;Estreias em campeonato Conmebol;Estréias Libertadores da América;10;1;0;363;19;1;6;0;0;Campeonato;
35;21/fev;Evolução contra LDU;Evolução LDU;1;1;1;288;11;4;4;0;0;Adversário;
36;22/fev;Adversários do Equador;Adversários da Equador;3;0;0;189;6;1;0;2;0;Adversário;
37;23/fev;Assistências contra Flamengo;Assistência contra Flamengo;4;1;0;222;9;1;1;2;0;Assistências;
38;24/fev;German Cano contra Flamengo;Artilheiros contra Flamengo;6;1;0;334;11;0;3;1;0;Jogador;
39;26/fev;Facundo Tello;Árbitros - Facundo Tello;3;0;0;264;9;3;3;0;0;Arbitro;
40;26/fev;Anuncio novas consultas;Novas telas de consulta;6;0;0;304;7;0;0;1;0;Anuncio;
41;27/fev;Artilheiros LDU;Artilheiros LDU;4;0;0;220;4;0;0;0;0;Artilheiros;
42;28/fev;Eliminatórios por saldo;Jogos Eliminatorios por saldo;0;0;0;224;16;7;9;0;0;Eliminatorios;
43;29/fev;Jogos em 29/02;Jogos em 29/02;4;0;0;205;10;0;6;0;0;Jogos;
44;29/fev;Artilheiros em mata-mata;Maiores Artilheiros em jogos eliminatórios;4;0;0;193;6;0;2;0;0;Artilheiros;
45;03/mar;Confronto e evolução Botafogo;Confronto e evolução Botafogo;7;1;0;320;11;3;0;0;0;Adversário;
46;05/mar;Fernando Diniz;Quem mais treinou;8;0;0;327;13;4;1;0;0;Técnico;
47;06/mar;Fernando Diniz x classico e adv;Aproveitamento de técnico em clássico e Flamengo;5;0;0;268;9;2;1;1;0;Técnico;
48;07/mar;Penaltis a favor e contra;Penaltis a favor e contra Fluminense;3;0;0;176;9;5;1;0;0;Penalties;
49;08/mar;Jogos Eliminatórios contra Flamengo;Jogos Eliminatórios contra Flamengo;1;0;0;126;1;0;0;0;0;Eliminatorios;
50;11/mar;Saldo -2 em  jogo eliminatório;Jogos Eliminatórios por saldo do 1ºjogo;6;1;0;232;12;1;3;1;0;Eliminatorios;
51;13/mar;Campanha 2024 x histórico;Comparação ano corrente;3;0;0;164;3;0;0;0;0;Ano;
52;14/mar;Saldo de placar contra Flamengo;Saldo de 3 gols....;9;0;0;332;21;4;6;2;0;Adversário;
53;15/mar;Arbitro em clássicos;Wagner do Nascimento Magalhães;2;0;0;176;4;0;2;0;0;Arbitro;
54;19/mar;Alianza Lima;Fluminense x Alianza;4;0;0;211;7;0;2;1;0;Adversário;
55;20/mar;Colo Colo;Fluminense x Colo Colo;2;0;0;218;4;0;2;0;0;Adversário;
56;21/mar;Cerro Portenho;Fluminense x Cerro Portenho;3;0;0;237;10;1;2;1;0;Adversário;
57;08/abr;Libertadores como mandante;Libertadores - Maracanã /Engenhão/São Januário;8;1;0;270;16;2;5;0;0;Campeonato;
58;11/abr;Estreia em Brasileiro;Estreia em campeonatos;6;1;0;213;10;0;2;1;0;Campeonato;
59;12/abr;Flu x Bragantino;Adversario;3;0;0;178;3;0;0;0;0;Adversário;
60;15/abr;Flu x Bahia;Adversario;4;1;0;232;6;0;1;0;0;Adversário;
61;16/abr;Fonte Nova;Estadios - Fonte Nova;2;2;1;206;7;0;1;1;0;Estádio;
62;24/abr;Flu na Liberta e Flu x Cerro;Campeonato e Adversario;4;1;0;198;10;0;5;0;0;Campeonato;
63;29/abr;Estreia Copa do Brasil;Campeonato;4;0;0;226;8;0;4;0;0;Campeonato;
64;30/abr;Flu x Sampaio e Flu na Copa Brasil;Adversario e Campeonato;1;0;0;162;4;0;2;1;0;Adversário;
65;03/mai;Flu X Atlético MG - Arias Assistencia;Adversario e Jogador;3;0;1;266;7;1;1;1;0;Adversário;
66;10/mai;Sequência invicta na Libertadores;Sequências em campeonato;11;2;0;310;14;0;0;1;0;Campeonato;
67;13/mai;Morumbi e tempo fora do Z4;Estádio - Brasileirão;1;0;1;271;6;0;4;0;0;Estádio;
68;29/mai;Marcas Históricas;Artilheiros-Assistencia-Jogador-Tecnico;2;1;0;155;10;3;3;0;0;Marcas Históricas;
69;13/jun;Péssimos números da temporada;Campanha x Campanha Histórica;4;0;1;224;11;1;3;2;0;Campanha histórica;
70;17/jun;Péssimos números da temporada;Campanha x Campanha Histórica;2;1;1;206;13;0;5;4;0;Campanha histórica;
71;17/jun;Fluminense x Cruzeiro;Adversário;2;1;0;143;30;0;0;0;0;Campanha histórica;
72;17/jun;Posições no Brasileiro;Campeonato;0;0;0;175;4;0;2;2;0;Campanha histórica;
73;27/jun;Fluminense x Vitoria Ba;Adversário;4;1;0;209;8;0;0;3;0;Adversário;
74;28/jun;Sequências;Sequências;6;1;1;232;13;0;3;2;0;Sequências;
75;01/jul;Sequencias;Sequências;10;3;0;445;71;0;11;3;0;Sequências;
76;01/jul;Sequencias;Sequências;3;0;0;155;11;0;0;1;0;Sequências;
77;03/jul;Tecnico;Tecnico;4;0;0;179;7;1;2;0;0;Técnico;
78;08/jul;Sequencias;Sequencias;7;3;0;700;17;0;3;4;0;Sequências;
79;08/jul;Pesquisa Site;Pesquisa;6;2;0;266;41;16;8;9;0;Pesquisa;
80;10/jul;Camisa Branca;Camisa;4;1;1;294;28;0;2;2;0;Camisa;
81;12/jul;Sequencias;Sequencias;1;0;0;143;0;0;0;0;0;Sequências;
82;15/jul;Sequencias;Sequencias;8;1;0;291;11;0;1;1;0;Sequências;
83;18/jul;Fluminense x Cuiaba;Adversário;4;1;0;208;5;1;0;0;0;Adversário;
84;18/jul;Fluminense x Juventude;Adversário;0;0;1;139;2;0;0;1;0;Adversário;
85;19/jul;Fluminense - Anderson Daronco;Arbitro;2;0;0;160;5;0;2;1;0;Arbitro;
86;22/jul;Fluminense x Palmeiras;Adversário;5;0;0;242;11;4;2;0;0;Adversário;
87;23/jul;Fluminense em 24/07;Datas;11;1;2;534;37;3;18;1;0;Datas;
88;25/jul;Fluminense x Bragantino;Adversário;3;0;0;171;7;2;1;1;0;Adversário;
89;29/jul;Desempenho em agosto;Ano;6;1;1;243;16;0;5;3;0;Ano;
90;31/jul;Fluminense na Copa do Brasil;Campeonato;4;2;2;175;14;0;5;1;0;Campeonato;
91;02/ago;Thiago Santos e Antonio Carlos;Jogador;10;2;0;216;14;0;1;1;0;Jogador;
