Dia;Novos usuários;Recorrentes;Total
02/08/2023;48;8;56
03/08/2023;61;19;80
04/08/2023;69;30;99
05/08/2023;87;22;109
06/08/2023;72;34;106
07/08/2023;67;44;111
08/08/2023;92;41;133
09/08/2023;90;48;138
10/08/2023;104;47;151
11/08/2023;62;50;112
12/08/2023;44;31;75
13/08/2023;73;38;111
14/08/2023;36;37;73
15/08/2023;46;33;79
16/08/2023;37;26;63
17/08/2023;39;34;73
18/08/2023;35;39;74
19/08/2023;64;48;112
20/08/2023;65;44;109
21/08/2023;50;43;93
22/08/2023;64;34;98
23/08/2023;60;45;105
24/08/2023;85;52;137
25/08/2023;64;75;139
26/08/2023;80;59;139
27/08/2023;52;55;107
28/08/2023;41;55;96
29/08/2023;50;34;84
30/08/2023;59;48;107
31/08/2023;100;64;164
01/09/2023;68;77;145
02/09/2023;40;47;87
03/09/2023;66;57;123
04/09/2023;35;48;83
05/09/2023;44;46;90
06/09/2023;51;41;92
07/09/2023;42;35;77
08/09/2023;46;37;83
09/09/2023;36;20;56
10/09/2023;33;23;56
11/09/2023;27;43;70
12/09/2023;57;36;93
13/09/2023;43;41;84
14/09/2023;53;53;106
15/09/2023;102;71;173
16/09/2023;92;50;142
17/09/2023;42;33;75
18/09/2023;56;39;95
19/09/2023;63;56;119
20/09/2023;50;45;95
21/09/2023;48;67;115
22/09/2023;44;45;89
23/09/2023;43;33;76
24/09/2023;40;22;62
25/09/2023;44;40;84
26/09/2023;49;51;100
27/09/2023;94;54;148
28/09/2023;60;74;134
29/09/2023;45;47;92
30/09/2023;52;48;100
01/10/2023;42;33;75
02/10/2023;46;37;83
03/10/2023;49;47;96
04/10/2023;76;34;110
05/10/2023;91;81;172
06/10/2023;68;62;130
07/10/2023;60;36;96
08/10/2023;61;45;106
